"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
523 0.172526382458517 1 78 "GO:0000003" "reproduction" 0.388990599066726
-925 0.0243349592851307 3 68 "GO:0000018" "regulation of DNA recombination" 0.109215721410391
619 0.187245742044711 2 52 "GO:0000027" "ribosomal large subunit assembly" 0.40399564094404
314 0.642176537884714 2 25 "GO:0000028" "ribosomal small subunit assembly" 0.790913671218058
1445 0.0237185770732466 4 28 "GO:0000038" "very long-chain fatty acid metabolic process" 0.10805605522719
1107 0.00889183595961617 4 64 "GO:0000041" "transition metal ion transport" 0.054353656014271
733 0.121829479066567 3 51 "GO:0000045;GO:1905037" "autophagosome organization" 0.315287345323025
553 0.487187473939711 6 18 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "ribosomal subunit export from nucleus" 0.681786163549279
-766 0.310728660951266 2 20 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.532529984658576
-1150 0.000510182100675601 5 105 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.00625580432971273
-601 0.404498789235627 3 22 "GO:0000076" "DNA replication checkpoint" 0.608339221282307
-964 0.0149701036587944 2 73 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.079858293258255
-678 0.160574171937237 6 49 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.371697582022761
-1451 0.0151770538598485 3 32 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0803720590007401
-214 0.716754150246864 3 33 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.834924585349795
545 0.175326008676743 3 71 "GO:0000096" "sulfur amino acid metabolic process" 0.391782243853318
1041 0.0237618412708335 2 54 "GO:0000097;GO:0006555;GO:0009086" "sulfur amino acid biosynthetic process" 0.10805605522719
-686 0.00911436860433198 2 167 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0555345168852859
1875 0.000327585248251942 3 42 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.00446904378409934
313 0.55369662914593 2 41 "GO:0000154" "rRNA modification" 0.731033357211922
-666 0.334064600433414 2 24 "GO:0000160;GO:0009873" "phosphorelay signal transduction system" 0.55142073468977
284 0.564668282436809 5 47 "GO:0000165" "MAPK cascade" 0.742320779719098
-735 0.192102149825448 8 36 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.4108702676248
833 0.150729429855798 3 34 "GO:0000187" "activation of MAPK activity" 0.356080992549248
726 0.405137954613139 2 15 "GO:0000188" "inactivation of MAPK activity" 0.608339221282307
241 0.31653892657986 2 201 "GO:0000209" "protein polyubiquitination" 0.539196952451824
-620 0.0025655743477803 2 276 "GO:0000226" "microtubule cytoskeleton organization" 0.0221133186461398
-1330 0.065000987673863 6 22 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.213384084535488
-1614 0.0373448583272172 5 19 "GO:0000245" "spliceosomal complex assembly" 0.145426102370638
215 0.781814668360391 2 19 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 0.875286588858737
238 0.517430921066968 3 85 "GO:0000272" "polysaccharide catabolic process" 0.705899137349638
-198 0.478576651165205 3 148 "GO:0000278" "mitotic cell cycle" 0.67340703647563
432 0.33989677487884 2 56 "GO:0000280;GO:0048285" "organelle fission" 0.553608332533909
342 0.258114675050411 2 126 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.482501116700405
-745 0.336708724609782 3 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.552338772121275
-691 0.399224014189827 6 17 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.603933454293679
137 0.664355595966343 4 115 "GO:0000302" "response to reactive oxygen species" 0.806735039033611
-1381 4.6731989780802e-09 7 209 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 2.46840766534493e-07
-1409 0.0112893054670927 2 37 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0647977909672533
